date,deaths_direct_drug,deaths_direct_alcohol,deaths_risk_tobacco,deaths_risk_drug,deaths_risk_alcohol,deaths_direct_total,year,deaths_direct_drug_yoy_pct,deaths_direct_drug_ma3,deaths_direct_alcohol_yoy_pct,deaths_direct_alcohol_ma3,deaths_risk_tobacco_yoy_pct,deaths_risk_tobacco_ma3,deaths_risk_drug_yoy_pct,deaths_risk_drug_ma3,deaths_risk_alcohol_yoy_pct,deaths_risk_alcohol_ma3,deaths_direct_total_yoy_pct,deaths_direct_total_ma3
1990-01-01,56263,116507,6805521,354999,2462885,172770,1990,,,,,,,,,,,,
1991-01-01,62030,122601,6905741,378933,2517654,184631,1991,10.25007553809787,61757.666666666664,5.230587003356013,123633.0,1.4726278855064834,6913236.0,6.741990822509369,379362.6666666667,2.2237741510464426,2520543.3333333335,6.865196504022686,185390.66666666666
1992-01-01,66980,131791,7028446,404156,2581091,198771,1992,7.980009672738997,66928.66666666667,7.49586055578666,132809.33333333334,1.7768549385214438,7044237.666666667,6.656321829980505,406020.3333333333,2.5196869784331,2585464.0,7.658518883611087,199738.0
1993-01-01,71776,144036,7198526,434972,2657647,215812,1993,7.160346372051363,71891.33333333333,9.291226259759778,143279.0,2.419880582421774,7175912.666666667,7.624778550856592,435551.0,2.966032580796263,2655332.6666666665,8.573182204647555,215170.33333333334
1994-01-01,76918,154010,7300766,467525,2727260,230928,1994,7.163954525189475,76301.66666666667,6.924657724457783,151641.0,1.4202907650816332,7284205.0,7.483930000091954,465765.6666666667,2.6193471141953806,2716896.3333333335,7.004244434971185,227942.66666666666
1995-01-01,80211,156877,7353323,494800,2765782,237088,1995,4.281182558048835,79696.33333333333,1.8615674306863284,155808.0,0.7198833656632653,7343504.0,5.833912624993309,492799.3333333333,1.412479924906318,2760908.6666666665,2.667498094644216,235504.33333333334
1996-01-01,81960,156537,7376423,516073,2789684,238497,1996,2.1804989340614034,81674.0,-0.21673030463356113,156350.0,0.31414368714661745,7381516.666666667,4.299312853678261,515607.6666666667,0.864204047896755,2793368.6666666665,0.5942941017681225,238024.0
1997-01-01,82851,155636,7414804,535950,2824640,238487,1997,1.0871156661786285,83402.66666666667,-0.5755827695688609,156230.33333333334,0.5203199436908612,7412499.333333333,3.851586887901526,537320.3333333334,1.25304514776583,2824511.6666666665,-0.004192924858592573,239633.0
1998-01-01,85397,156518,7446271,559938,2859211,241915,1998,3.0729864455468325,85311.33333333333,0.5667069315582474,157675.33333333334,0.424380738857022,7461032.666666667,4.475790652113076,561860.0,1.2239081794494178,2865805.6666666665,1.4373949104144135,242986.66666666666
1999-01-01,87686,160872,7522023,589692,2913566,248558,1999,2.680422028876883,87714.66666666667,2.781788676062824,161262.66666666666,1.017314572622996,7526340.0,5.313802599573525,589002.6666666666,1.9010489257351049,2913998.6666666665,2.7460058284934696,248977.33333333334
2000-01-01,90061,166398,7610726,617378,2969219,256459,2000,2.7085281572885034,88489.66666666667,3.4350290914515913,166136.33333333334,1.179243934776597,7599297.333333333,4.694993318545948,614826.0,1.9101334927714042,2965532.3333333335,3.178734943152106,254626.0
2001-01-01,87722,171139,7665143,637408,3013812,258861,2001,-2.5971286128290805,87648.33333333333,2.8491928989531123,171079.33333333334,0.7150040613733921,7676586.333333333,3.2443656884437067,636967.6666666666,1.5018427404647428,3022065.6666666665,0.9366019519689406,258727.66666666666
2002-01-01,85162,175701,7753890,656117,3083166,260863,2002,-2.918310116048428,85181.66666666667,2.665669426606443,175380.0,1.1577996653160838,7741889.0,2.9351686831668333,654795.6666666666,2.3012052510242853,3079953.0,0.7733880345049959,260561.66666666666
2003-01-01,82661,179300,7806634,670862,3142881,261961,2003,-2.936755830065052,83360.66666666667,2.048366258587042,178642.0,0.6802263122123176,7784888.0,2.2473125982103825,670014.0,1.9368078137862232,3136075.3333333335,0.42091059291657906,262002.66666666666
2004-01-01,82259,180925,7794140,683063,3182179,263184,2004,-0.4863236592830944,83448.33333333333,0.9063022866703907,180793.33333333334,-0.16004336824295695,7817792.333333333,1.8187048901264324,686343.0,1.2503814175592431,3191895.0,0.4668633880615891,264241.6666666667
2005-01-01,85425,182155,7852603,705104,3250625,267580,2005,3.8488189742155843,84530.33333333333,0.6798397125880928,180429.33333333334,0.75008916955559,7807273.666666667,3.226788744230036,699750.0,2.1509160861158394,3233341.0,1.6703143048209634,264959.6666666667
2006-01-01,85907,178208,7775078,711083,3267219,264115,2006,0.564237635352649,85940.66666666667,-2.166835936427769,178277.33333333334,-0.9872522525333327,7801930.333333333,0.8479600172456747,711012.0,0.5104864449144486,3278072.3333333335,-1.2949398310785565,264218.0
2007-01-01,86490,174469,7778110,716849,3316373,260959,2007,0.6786408558091983,86677.66666666667,-2.0981100736218394,174920.33333333334,0.038996393348078584,7805009.333333333,0.8108758049341747,717630.6666666666,1.504459909176581,3329285.3333333335,-1.1949340249512552,261598.0
2008-01-01,87636,172084,7861840,724960,3404264,259720,2008,1.3250086715227205,87239.33333333333,-1.3670050266809564,171252.0,1.0764825902436437,7837435.333333333,1.1314795724064686,720665.3333333334,2.6502145566858815,3379162.6666666665,-0.4747872271123055,258491.33333333334
2009-01-01,87592,167203,7872356,720187,3416851,254795,2009,-0.050207677210278856,87960.33333333333,-2.836405476395254,168020.33333333334,0.13376003581859752,7889688.333333333,-0.6583811520635585,722826.6666666666,0.3697421821574398,3432890.6666666665,-1.8962729092869224,255980.66666666666
2010-01-01,88653,164774,7934869,723333,3477557,253427,2010,1.2112978354187565,88716.33333333333,-1.4527251305299527,164600.66666666666,0.7940824830584337,7926147.333333333,0.43683098972906453,724212.0,1.776665122359744,3460030.3333333335,-0.536902215506585,253317.0
2011-01-01,89904,161825,7971217,729116,3485683,251729,2011,1.4111197590606084,90026.33333333333,-1.7897241069586234,162141.0,0.45807939614377347,7974818.666666667,0.7994934559877764,727023.3333333334,0.23366978600207755,3498715.0,-0.6700154285060433,252167.33333333334
2012-01-01,91522,159824,8018370,728621,3532905,251346,2012,1.7996974550631872,92195.0,-1.236520933106755,160311.0,0.5915407898191782,8019662.666666667,-0.06789043170085662,730498.0,1.3547416675584012,3529896.0,-0.15214774618736993,252506.0
2013-01-01,95159,159284,8069401,733757,3571100,254443,2013,3.9739079128515487,95529.33333333333,-0.3378716588247066,159611.0,0.6364261065528343,8069947.666666667,0.7048932160890198,734970.0,1.0811216265367962,3566621.6666666665,1.2321660181582317,255140.33333333334
2014-01-01,99907,159725,8122072,742532,3595860,259632,2014,4.989543816139297,100377.33333333333,0.2768639662489747,160050.33333333334,0.652725028784662,8140945.333333333,1.1959000050425495,746767.0,0.6933437876284643,3607287.0,2.039356555299232,260427.66666666666
2015-01-01,106066,161142,8231363,764012,3654901,267208,2015,6.164733201877737,106523.33333333333,0.8871497886993263,161114.0,1.3456049146080007,8227358.666666667,2.892804619868228,764705.0,1.6419159811561057,3656191.0,2.9179762124853736,267637.3333333333
2016-01-01,113597,162475,8328641,787571,3717812,276072,2016,7.100296042086995,112906.66666666667,0.8272207121668984,162214.33333333334,1.1817969879350576,8324088.0,3.0835903100998374,784609.6666666666,1.7212778129968465,3715244.0,3.317265950121251,275121.0
2017-01-01,119057,163026,8412260,802246,3773019,282083,2017,4.8064649594619535,118829.0,0.33912909678412984,163796.33333333334,1.0039933285634461,8434034.0,1.863324068560157,803457.3333333334,1.484932535588146,3776603.6666666665,2.1773305514503516,282625.3333333333
2018-01-01,123833,165888,8561201,820555,3838980,289721,2018,4.0115238919173235,123892.66666666667,1.7555481947664875,165757.0,1.770523022350723,8567598.666666666,2.282217673880571,822998.3333333334,1.7482286731129726,3842311.6666666665,2.7077136871062724,289649.6666666667
2019-01-01,128788,168357,8729335,846194,3914936,297145,2019,4.001356665832212,,1.488353587962954,,1.9639066995390086,,3.124592501416723,,1.9785463847167728,,2.5624652683098548,
